language,category,mean,std
GOTH,ADJ,0.3406068992148508,0.05082008453953455
GOTH,ADV,0.3295697824440566,0.05758293268132129
GOTH,AP,0.14417948873335634,0.02491375434677756
GOTH,CONJ,0.15459501881333557,0.020452850136628474
GOTH,INTJ,0.9904456784327825,0.3605096620321985
GOTH,N,0.1719782197126213,0.018193622728308493
GOTH,NUM,1.0464065503506432,0.23614262924466975
GOTH,PART,1.063455599818577,0.24308812172410413
GOTH,PRO,0.06302300905293937,0.005958267831512053
GOTH,VB,0.1912802865475083,0.023055004205721492
OE,ADJ,0.1567109982787263,0.024987971957203682
OE,ADV,0.08060523275884106,0.02038007921818943
OE,AP,0.04735171325413058,0.006526037060824015
OE,C,0.07411989672209042,0.01511071771798697
OE,CONJ,0.008924621302274794,0.0017753954536648732
OE,D,0.031221826512265627,0.0035175656637753553
OE,INTJ,0.07539777200991832,0.015873780069439337
OE,N,0.05954452241580989,0.008790079104021188
OE,NEG,0.01795976801720676,0.0023557044606296977
OE,NUM,0.06247007162545458,0.01937665217803621
OE,PART,0.15377699709125786,0.03304786998753455
OE,PRO,0.013586319032868801,0.0038898839159930325
OE,PRO$,0.027858664338038804,0.00468937522596696
OE,Q,0.04032559162331112,0.01157733383094753
OE,TO,0.1321228897628371,0.03078693302899276
OE,VB,0.05048001419921684,0.009230329919102477
OE,WH,0.061621904364098465,0.010978588253294405
OHG,ADJ,0.9583470888734043,0.05745062901620083
OHG,ADJOS,1.1695347798087945,0.13746361768746243
OHG,ADJS,0.9997602644424498,0.05866179532913334
OHG,ADV,0.3087962474503979,0.028128212791752084
OHG,AP,0.1575626385940178,0.02989586940236287
OHG,C,0.35735359646010123,0.04714420924848648
OHG,CARDS,1.1773136068186554,0.13657431459374964
OHG,CONJ,0.10422415820707356,0.019227268619829825
OHG,D,0.14727723396968123,0.008447697866447015
OHG,INTJ,1.062227063389822,0.13923783348806884
OHG,KOKOM,0.7334253508046938,0.15337958611907615
OHG,N,0.35640993749226657,0.023305203137044886
OHG,NEG,0.10465431399555176,0.01594825808492074
OHG,NUM,1.063359753850452,0.17975184362916946
OHG,PART,0.5668581903525434,0.0367127376795472
OHG,PRO,0.08531787216740619,0.012330706102406499
OHG,TO,0.6063893017727513,0.06135404029629437
OHG,VB,0.30497279632342583,0.021484821487355043
OHG,WH,0.5542810401806954,0.046718963635383574
OI,ADJ,0.42087237579281495,0.04697309483830767
OI,ADV,0.11816794028979967,0.005287084156474536
OI,ALSO,0.37721184495348836,0.04417007451083628
OI,AP,0.10167313052557655,0.00738400379049511
OI,C,0.05222880337148128,0.0048103607803390465
OI,CONJ,0.046302161432454886,0.006241298557332156
OI,D,0.0886924911305047,0.004559095819901847
OI,ES,0.6352162989536325,0.034887646140390395
OI,INTJ,1.4400284929981546,0.3697146689086543
OI,N,0.10080211483885375,0.013299252590720002
OI,NEG,0.12266596815224348,0.040387760930206365
OI,NUM,0.368491708549869,0.047251007800813025
OI,ONE,0.3669471527999485,0.040825345566431234
OI,OTHER,0.19384134783439017,0.03759283059513192
OI,PART,0.3033263306878025,0.03516165599671499
OI,PRO,0.06816896926895709,0.006747786593794673
OI,Q,0.16691912410428833,0.015469307079162225
OI,SUCH,0.6486067760654611,0.08903506213988159
OI,TO,0.20598243877964353,0.042483171284811765
OI,VB,0.06310812214781383,0.009198896134657922
OI,WH,0.26415871491631804,0.04621469299850657
OS,ADJ,0.3406072932208822,0.024601242135334097
OS,ADV,0.11691352943444766,0.009255438486225908
OS,ALSO,0.7818303724866865,0.06719210189340755
OS,AP,0.10667040384288076,0.01895536513983423
OS,C,0.15186681929987675,0.03990278455895798
OS,CONJ,0.12826235618485324,0.05820490966905674
OS,D,0.06546781436186463,0.02103441223411893
OS,INTJ,0.8520560190081596,0.6506547522173981
OS,N,0.1427436284546747,0.010535314128515813
OS,NEG,0.14437496422756285,0.029929369919024704
OS,NUM,0.8531561281586318,0.20005243450723154
OS,PART,1.0006689785633767,0.35827528779187456
OS,PRO,0.05095843032969982,0.015532425035240377
OS,PRO$,0.158502868790313,0.03756552030993171
OS,Q,0.2600989013889754,0.03691589839204648
OS,TO,0.9688439332729295,0.17838872348615867
OS,VB,0.17919983848905935,0.00994452666577845
OS,WH,0.34023311452273475,0.032869062040637304
