language,accuracy_mean,accuracy_sd,baseline_mean,oov_rate_mean
OE,0.9736380249133989,0.0008956866162913084,0.9172021674285771,0.03439336664301183
OS,0.934463129437321,0.00368166484072939,0.8972521077985689,0.09613089482414813
OI,0.9476238890756502,0.0011766958109610008,0.9098356326377466,0.050196526392238205
GOTH,0.9144411250450734,0.0032411013574699574,0.9177417869435451,0.08950684178317463
OHG,0.873057838972586,0.006074450273467056,0.8410217333181975,0.15279674110790603
